事件,事件A,事件B,关系,年份,实体
1961年6月17日，菲律宾通过关于确定菲领海基线的法案：该法案清楚说明南沙群岛不在菲领土范围之内。 ,菲律宾通过关于确定菲领海基线的法案。,该法案清楚说明南沙群岛不在菲领土范围之内。,顺承,1961,菲律宾南沙
1961年美国出版的《哥伦比亚利平科特世界地名辞典》写道，南沙群岛是“南中国海的中国属地，广东省的一部分。”,1961年美国出版的《哥伦比亚利平科特世界地名辞典》写道南沙群岛是中国属地。,南沙群岛被视为广东省的一部分。,因果,1961,美国哥伦比亚利平科特南沙群岛南中国海中国广东省
1963年美国出版的《威尔德麦克各国百科全书》明确指出，中华人民共和国各岛屿“还包括伸展到北纬四度的南中国海的岛屿和珊瑚礁，这些岛屿和珊瑚礁包括东沙（普拉塔斯）、西沙（帕拉塞尔）、中沙和南沙群岛。”,1963年美国出版的《威尔德麦克各国百科全书》明确指出中华人民共和国各岛屿的范围。,《威尔德麦克各国百科全书》提到的岛屿包括东沙、西沙、中沙和南沙群岛。,上下位,1963,美国中华人民共和国南中国海普拉塔斯西沙帕拉塞尔中沙南沙
1965年5月9日，越南民主共和国政府就美国政府确定美军在越南的“作战区域”问题发表声明，指出：“美国总统约翰逊把整个越南和越南海岸以外宽约一百海里的附近海域，以及中华人民共和国西沙群岛的一部分领海规定为美国武装力量的作战区域”，“对越南民主共和国及其邻国安全的直接威胁”。,越南民主共和国政府就美国政府确定美军在越南的“作战区域”问题发表声明。,声明指出美国总统约翰逊将整个越南及其邻近海域规定为美国武装力量的作战区域。,因果,1965,越南民主共和国政府美国越南中华人民共和国西沙
1966年7月28日，马来西亚发布“大陆架法”，规定邻接马来西亚海岸而在其领海范围以外海底区域的海床和底上，水深不到200米或在容许开发的深度以内的大陆架及其资源属于马来西亚。并在马来西亚东西海域设立“矿区”，组让给外国公司进行勘探和开采，其中部分“矿区“涉入我南海海区。,马来西亚发布“大陆架法”，规定其海底区域的大陆架及其资源属于马来西亚。,马来西亚在东西海域设立“矿区”，允许外国公司进行勘探和开采。,因果,1966,马来西亚南海
1968年，马来西亚政府将我南海诸岛范围线以内8万多平方公里的南沙群岛划为“矿区”，我国南康暗沙、北康暗沙和曾母暗沙等被包括在“矿区”内，并出租给美国壳牌公司的子公司——沙捞越壳牌公司钻探石油。,马来西亚政府将南沙群岛划为“矿区”。,南康暗沙、北康暗沙和曾母暗沙等被出租给美国壳牌公司的子公司钻探石油。,顺承,1968,马来西亚政府南海南沙南康曾母美国壳牌公司沙捞越壳牌公司
1968年10月，印度尼西亚与马来西亚签订大陆架协定，确定在南中国海矿区分界线。,印度尼西亚与马来西亚签订大陆架协定。,确定在南中国海矿区分界线。,顺承,1968,印度尼西亚马来西亚南中国海
1968年，菲律宾政府颁布的第370号公告，宣布菲律宾将对其附近大陆架的自然资源行使管辖与控制权。同年颁布菲律宾基线法，逐步侵占距该国较近的马欢岛、中业岛、司令礁等南沙岛礁。 ,菲律宾政府颁布第370号公告，宣布对其附近大陆架的自然资源行使管辖与控制权。,菲律宾颁布基线法，逐步侵占马欢岛、中业岛、司令礁等南沙岛礁。,因果,1968,菲律宾政府菲律宾马欢岛中业岛司令礁南沙
1968年马来西亚在南海海域划定了一个8万多平方千米的矿区，将中国南沙群岛的南康暗沙、海宁礁、北康暗沙和曾母暗沙等包含在内，并出租给美国壳牌公司子公司——沙捞越壳牌公司钻探石油。,1968年马来西亚在南海海域划定了一个矿区并出租给沙捞越壳牌公司。,该矿区包含了中国南沙群岛的南康暗沙、海宁礁、北康暗沙和曾母暗沙等。,因果,1968,马来西亚南海中国南沙群岛南康海宁礁北康曾母美国壳牌公司沙捞越壳牌
1969年10月27日，马来西亚与印度尼西亚在吉隆坡签订了《印度尼西亚和马来西亚关于划分两国间大陆架的协定》。其中，印度尼西亚的纳土纳群岛与马来西亚沙捞越北部达都角之间的界限，进入中国的断续线以内。,马来西亚与印度尼西亚在吉隆坡签订《印度尼西亚和马来西亚关于划分两国间大陆架的协定》。,印度尼西亚的纳土纳群岛与马来西亚沙捞越北部达都角之间的界限进入中国的断续线以内。,顺承,1969,马来西亚印度尼西亚吉隆坡沙捞越达都角中国
1970-1977年，马来西亚多次在我南沙群岛海区非法钻探石油，其中在曾母暗沙以北海区所发现的“民都鲁气田”，储量达五千亿立方米，年产可达一百亿立方米，堪称世界第一流大气田。,马来西亚在南沙群岛海区非法钻探石油。,在曾母暗沙以北海区发现了“民都鲁气田”。,因果,1970,马来西亚南沙群岛
1970年8月，菲律宾非法侵占马欢岛和费信岛。 ,菲律宾非法侵占马欢岛和费信岛。,1970年8月发生。,顺承,1970,菲律宾马欢岛费信岛
1971年4月，菲律宾非法侵占中业岛。 ,菲律宾非法侵占中业岛。,1971年4月。,顺承,1971,菲律宾中业岛
1971年7月，菲律宾非法侵占西月岛、北子岛和南钥岛。 ,菲律宾非法侵占西月岛、北子岛和南钥岛。,1971年7月发生的事件。,顺承,1971,菲律宾西月岛北子岛南钥岛
1971年7月10日，菲律宾政府指责台湾军舰在南沙群岛向一艘无武装的菲律宾海军船只“开火”，时任总统马科斯立即召开国家安全会议讨论南沙地位问题，并得出结论，即克洛马进行探险及占领过的53个岛屿属于菲律宾。 ,菲律宾政府指责台湾军舰在南沙群岛向一艘无武装的菲律宾海军船只“开火”。,时任总统马科斯召开国家安全会议讨论南沙地位问题，并得出结论，克洛马进行探险及占领过的53个岛屿属于菲律宾。,因果,1971,菲律宾台湾南沙
1971年美国出版的《世界各国区划百科全书》在“中华人民共和国”条目内写道：“人民共和国包括几个群岛，……其他群岛包括南中国海的一些礁石和群岛，最远伸展到北纬4度。这些礁石和群岛包括东沙（普拉塔）、西沙、中沙和南沙群岛。,1971年美国出版的《世界各国区划百科全书》在“中华人民共和国”条目内写道有关南中国海的内容。,该条目提到的群岛包括东沙、西沙、中沙和南沙群岛。,顺承,1971,美国中华人民共和国南中国海东沙普拉塔西沙中沙南沙
1972年12月30日，菲律宾总统签署第87号法令。根据此法令，“菲律宾-德士古石油公司”、“菲律宾-加利福尼亚美孚石油公司”（共占85%的股份和几家菲律宾公司合资勘探巴拉望岛以西和功禄海西南约5005平方哩的海区。据称，在这之前，菲律宾政府曾非法授于“菲——美资源公司”在南海礼乐滩（属南沙群岛）附近259平方哩的租让权。 ,菲律宾总统签署第87号法令。,菲律宾-德士古石油公司和菲律宾-加利福尼亚美孚石油公司合资勘探巴拉望岛以西和功禄海西南的海区。,因果,1972,菲律宾石油公司菲律宾-加利福尼亚美孚石油公司功禄海美南海礼乐滩南沙
1973年1月17日，菲律宾共和国宪法生效。修改“国家领土”的提法，企图吞并我南沙群岛。 ,菲律宾共和国宪法生效。,菲律宾修改“国家领土”的提法，企图吞并我南沙群岛。,因果,1973,菲律宾共和国南沙
1973年5月25日，菲律宾政府与美国“温特尔·菲利浦石油公司”签订了一项勘探和开发石油合同。根据这项合同，该美国公司将对菲律宾中部巴拉望岛西海岸约5983.3平方公里的近海地区进行勘探。地震调查将在6个月内开始。 ,菲律宾政府与美国“温特尔·菲利浦石油公司”签订了一项勘探和开发石油合同。,该美国公司将在6个月内开始地震调查。,顺承,1973,菲律宾政府美国温特尔·菲利浦石油公司巴拉望岛
1974年1月20日，路透社马尼拉1月20日电菲律宾官方对中国和南越对南海中的帕拉塞尔群岛上的争议一直保持沉默。 ,菲律宾官方对中国和南越对南海中的帕拉塞尔群岛上的争议保持沉默。,1974年1月20日，路透社马尼拉报道了这一情况。,顺承,1974,路透社马尼拉菲律宾中国南海
1974年1月22日，菲国防部长恩利莱说菲正在注视着西沙群岛的形势，希望这个领土争端将“以友好的方式”解决。对于克洛玛事件，他作出评论：“如果我们占领任何岛屿的话，我肯定这些岛屿不是任何其他国家领土的一部分。” ,菲国防部长恩利莱表示菲正在关注西沙群岛的形势。,恩利莱评论克洛玛事件，强调如果占领岛屿，这些岛屿不属于其他国家。,因果,1974,恩利莱西沙
1974年2月5日，菲外长就南沙群岛主权照会台湾当局，正式抗议南越和国民党中华民国提出的对斯普拉特利群岛的主权要求，还强烈抗议两国政府在被称为斯普拉特利群岛的地区炫耀武力的做法。同时，菲新闻部长在新闻发布会上说，菲政府已就南海岛屿主权问题向台湾和西贡提出抗议。 ,菲外长就南沙群岛主权照会台湾当局，正式抗议南越和国民党中华民国的主权要求。,菲新闻部长在新闻发布会上表示，菲政府已对南海岛屿主权问题向台湾和西贡提出抗议。,顺承,1974,南沙群岛台湾南越中华民国斯普拉特利菲南海西贡
1974年2月6日，菲国防部长说：“中国不会一味干到底来确定南沙群岛主权。”他还说，菲律宾希望“这个小小的事件能以友好的方式解决。他认为这个问题可以在有关各方中间进行讨论”。 ,菲国防部长表示“中国不会一味干到底来确定南沙群岛主权”。,菲律宾希望“这个小小的事件能以友好的方式解决”。,因果,1974,中国南沙菲律宾
1974年12月，克洛马作秀般地与菲律宾政府签署了所谓的“转让证书和弃权声明书”，声称将在“自由地”的全部领土转让给菲律宾政府。 ,克洛马与菲律宾政府签署了“转让证书和弃权声明书”。,克洛马声称将“自由地”的全部领土转让给菲律宾政府。,因果,1974,克洛马菲律宾政府
1974年，菲律宾将南海的礼乐滩租给瑞典石油公司进行勘探，共钻井37口，其中约有７口位于中国传统Ｕ形线内。 ,菲律宾将南海的礼乐滩租给瑞典石油公司进行勘探。,共钻井37口，其中约有7口位于中国传统U形线内。,因果,1974,菲律宾南海礼乐滩瑞典石油公司中国
1974年8月17日，美壳牌—贝克顿子公司在南越西贡当局非法划定的第二矿区钻探井，发现油气显示，该井命名“玫瑰—1X”号，1974年10月30日，美国飞马石油公司、日本海洋石油公司、法国阿基斯坦石油公司钻探井见油，命名“白虎—1X”号，日流量每天2400桶，1974年11月7日美壳牌—贝克顿公司继续钻探井见油，命名“椰子—1X”号，日产2000桶原油和1760万立方英尺天然气，美国的这些行为丝毫不考虑中国在南海的主权归属，属于越界行为。,美壳牌—贝克顿子公司在南越西贡的第二矿区钻探井发现油气（命名为“玫瑰—1X”号）。,美国飞马石油公司、日本海洋石油公司、法国阿基斯坦石油公司在同一区域钻探井见油（命名为“白虎—1X”号）并取得日产2400桶的流量。,并发,1974,美壳牌—贝克顿子公司南越西贡美国飞马石油公司日本海洋石油公司法国阿基斯坦石油公司美壳牌—贝克顿公司油中国南海
1976年，菲律宾滨海国际财团与瑞典塞伦集团签订合同进行联合勘探和开发，在忠孝滩钻井证实蕴藏有石油。 ,菲律宾滨海国际财团与瑞典塞伦集团签订合同进行联合勘探和开发。,在忠孝滩钻井证实蕴藏有石油。,因果,1976,菲律宾滨海国际财团瑞典塞伦集团忠孝滩
1976年4月29日至7月20日，菲律宾、瑞典财团和美国国际石油公司等在南沙群岛礼乐滩钻第一口石油探井，井名“桑帕吉塔1号”，发现天然气，日流量为600万立方英尺。,菲律宾、瑞典财团和美国国际石油公司在南沙群岛礼乐滩钻探第一口石油探井“桑帕吉塔1号”。,在“桑帕吉塔1号”探井中发现天然气，日流量为600万立方英尺。,因果,1976,菲律宾瑞典财团美国国际石油公司等南沙群岛礼乐滩
1976年6月6日，外交部就这些在我国南沙群岛钻探石油的行为发表声明，指出：“中国对于这些岛屿及其附近海域拥有无可争辩的主权，这些地区的资源归中国所有。任何外国派兵侵占南沙群岛的岛屿或在南沙群岛地区勘探、开采石油和其他资源，都是对中国主权的侵犯，都是不能允许的。”但是这些非法开采行为仍然没有停止。,1976年6月6日，中国外交部发表声明，强调对南沙群岛及其附近海域的主权。,非法开采行为仍然没有停止。,因果,1976,南沙群岛中国
1977年3月-7月，美国国际石油公司和瑞典萨兰集团等伙同菲律宾当局用钻井船“格洛玛·塔斯曼号”在南沙群岛礼乐滩地区钻探第二口探井，井名“RURALBANKA--1”。在该井换井后，作业公司“美国国际石油公司”宣称当年在礼乐滩地区的“钻井计划已经完成”。,美国国际石油公司和瑞典萨兰集团在南沙群岛礼乐滩地区钻探第二口探井“RURALBANKA--1”。,作业公司“美国国际石油公司”宣称当年在礼乐滩地区的“钻井计划已经完成”。,顺承,1977,美国国际石油公司瑞典萨兰集团菲律宾格洛玛·塔斯曼南沙群岛礼乐滩地区美国国际石油礼乐滩地区
1977年8月27日，《石油消息》月刊透露：美国务院提醒在南海进行钻探的美国石油公司“别指望华盛顿的帮助”。合众国际社新加坡8月27日电，据一家石油杂志说，美国国务院提醒在南海进行钻探的一个石油公司国际财团：它们是在有争议的地区钻探，如遇到困难，别指望华盛顿的帮助。,美国务院提醒在南海进行钻探的美国石油公司“别指望华盛顿的帮助”。,美国国务院提醒国际财团它们是在有争议的地区钻探。,顺承,1977,美国务院南海美国华盛顿合众国际社新加坡美国国务院
1978年3月和1980年7月，菲律宾非法侵占双黄沙洲和司令礁。 ,1978年3月，菲律宾非法侵占双黄沙洲。,1980年7月，菲律宾非法侵占司令礁。,顺承,1978,菲律宾双黄沙洲司令礁
1978年，马科斯政府颁布第1596号总统令，以南沙群岛与菲律宾邻近为由，无视中国对其历史主权与管辖权，单方面宣布将中国南沙群岛部分岛礁划归菲律宾管辖，命名为所谓的“卡拉延群岛”，划归巴拉望省管辖。 ,马科斯政府颁布第1596号总统令，宣布将中国南沙群岛部分岛礁划归菲律宾管辖。,马科斯政府以南沙群岛与菲律宾邻近为由，无视中国对其历史主权与管辖权。,因果,1978,南沙群岛菲律宾中国卡拉延群岛巴拉望省
1978年6月，菲律宾政府颁布第1599号总统令，宣布菲律宾拥有200海里的专属经济区。但在当时菲律宾政府所发布的地图中，并未将作为岛屿的黄岩岛划入菲律宾版图之内。 ,菲律宾政府颁布第1599号总统令，宣布菲律宾拥有200海里的专属经济区。,菲律宾政府发布的地图中并未将黄岩岛划入菲律宾版图之内。,顺承,1978,菲律宾政府黄岩岛
1979年12月，马来西亚官方出版地图上，把南海岛礁中的司令礁、破浪礁、南海礁、安波沙洲、南乐暗沙、校尉暗沙一线以南的南沙群岛，划入马来西亚版图。,马来西亚官方出版地图上将南沙群岛划入马来西亚版图。,南海岛礁中的司令礁、破浪礁、南海礁、安波沙洲、南乐暗沙、校尉暗沙被标识为马来西亚的一部分。,顺承,1979,马来西亚南海司令礁破浪礁南海礁安波沙洲南乐暗沙校尉暗沙南沙
1979年，马来西亚侵占南海礁。,1979年，马来西亚侵占南海礁。,南海区域的领土争端加剧。,因果,1979,马来西亚南海礁
1979年，一家英国集团伦敦与苏格兰矿业石油有限公司和一家名为菲利皮诺股份的集团与瑞典集团联合，他们在1981年开始钻井，当地的菲律宾驻军则受命保护钻井队。 ,1981年，英国集团伦敦与苏格兰矿业石油有限公司和菲利皮诺股份的集团开始钻井。,当地的菲律宾驻军受命保护钻井队。,顺承,1979,英国伦敦与苏格兰矿业石油有限公司菲利皮诺股份瑞典菲律宾
1980年3月21日印度尼西亚宣布实行二百海里经济专属区，并表示愿同其他国家就互有冲突的权利要求进行谈判。印尼还宣布对新经济区内的一切自然拥有勘探、开发、管理和保护的专属权和主权。,印度尼西亚宣布实行二百海里经济专属区。,印度尼西亚表示愿同其他国家就互有冲突的权利要求进行谈判。,顺承,1980,印度尼西亚印尼
1983年至1999年，马来西亚武装占据了南沙5个岛礁（1983年占领弹丸礁，1986年占领光星仔礁和南海礁，1999年占领榆亚暗沙和簸箕礁。），并分别在这5个岛礁上派驻军队，建立岸外驻地。,马来西亚武装占据了南沙5个岛礁。,马来西亚在这5个岛礁上派驻军队，建立岸外驻地。,顺承,1983,马来西亚南沙弹丸礁光星仔礁南海礁榆亚暗沙簸箕礁
1983年8月，马来西亚以大陆架延伸为由，宣称弹丸岛是沙巴附属岛屿的一部分，于是派兵侵占。马来西亚还在该岛驻扎了约70名军人，该岛东北角即为军事区，有兵营和若干防御工事，并修建了简易机场（40*1100米）和无线电设施。,1983年8月，马来西亚以大陆架延伸为由，宣称弹丸岛是沙巴附属岛屿的一部分，并派兵侵占。,马来西亚在弹丸岛东北角建立了军事区，有兵营、若干防御工事、简易机场和无线电设施。,因果,1983,马来西亚弹丸岛
1983年9月9日印尼外长表示印尼对南沙群岛不提什么要求。印尼《罗盘报》9月10日刊登一则消息，部分信息摘要如下：穆赫塔尔外长说，印度尼西亚对位于南中国海的斯普拉特利群岛不提出什么要求，根据国际法，这个群岛与印度尼西亚的领土没有任何关系。外长是在昨天在外交部举行的记者招待会上说这番话的，他的谈话驳斥了外国电台所报道的印度尼西亚是对斯普拉特利群岛提出要求的六个国家之一。,1983年9月9日印尼外长表示印尼对南沙群岛不提什么要求。,穆赫塔尔外长在记者招待会上说明印度尼西亚对斯普拉特利群岛不提出要求。,顺承,1983,印尼南沙群岛印度尼西亚南中国海斯普拉特利
1983年中国地质矿产部在《南海海域含油气盆地资源估量及邻国蚕食我海域石油资源状况》中指出：1969年印尼宣布的矿区范围侵占了属我历史疆界内曾母盆地的西南部分，面积约3.5万平方公里，同时与七家国外公司订了合同，已完井30口，发现并开采了一大型气田。据最新资料，印尼矿区内，各大外国公司准备大上，并认为该地区是世界上尚未勘探开发的石油远景区之一。,中国地质矿产部指出印尼宣布的矿区范围侵占了属中国历史疆界内的曾母盆地的西南部分。,印尼与七家国外公司订了合同，已完井30口，发现并开采了一个大型气田。,因果,1983,印尼
1985年11月28日马来西亚国家通讯社报道马来西亚和印度尼西亚必须研究来自南中国海方面的威胁。报道中说，马来西亚代总理穆萨说印度尼西亚和马来西亚一致同意使用印度尼西亚在南中国海的纳土纳群岛举行海空演习，但是，这个群岛在对付来自南中国海方向的潜在威胁的应急计划方面也能起到极为重要的作用。该通讯社的消息没有说明同这种潜在威胁有关的任何国家，但是马来西亚和印度尼西亚两国领导人过去曾说过，中国是对他们的安全的潜在威胁。,马来西亚和印度尼西亚一致同意在纳土纳群岛举行海空演习。,马来西亚和印度尼西亚研究来自南中国海的威胁。,因果,1985,马来西亚印度尼西亚南中国海纳土纳中国
1987年，马来西亚侵占光星礁。,1987年，马来西亚侵占光星礁。,马来西亚在光星礁建立了军事设施。,顺承,1987,马来西亚光星礁
19世纪80年代末，柯克兰石油公司和菲律宾政府签订地球物理调查合同，对包括礼乐滩在内的6000平方公里海域进行全面勘探，并对位于菲律宾巴拉望省西北约80公里处的马兰帕亚天然气田进行开发，该天然气田可以满足菲律宾经济最发达的吕宋岛近一半的电力供应需求。 ,柯克兰石油公司与菲律宾政府签订地球物理调查合同，对6000平方公里海域进行勘探。,马兰帕亚天然气田的开发满足了吕宋岛近一半的电力供应需求。,因果,1990,柯克兰石油公司菲律宾政府调查礼乐滩菲律宾巴拉望省马兰帕亚天然气田
1990年1月22日～25日，印尼外交部研究和发展司以召集人身份在巴厘岛召开“南中国海潜在冲突”的第一次非正式研讨会。印尼外长阿拉塔斯在开幕式上发表讲话，呼吁有关国家在处理南中国海问题上进行合作，他认为这个问题可能成为将来发生冲突的一个主要根源，合作可能包括资源管理、通讯、航运以及航海等方面，还可能包括海上通道安全、环境科学研究。他还对与会者说：“这确实是一个正确的办法。在共同关心和互利的基础上扩大这些方面的合作，就会为进行和平合作，也为通过谈判解决潜在的冲突局势创造更为有益的气象。”这位部长还强调了南中国海的重要地位，如包括了马六甲、新加坡海峡等重要海上通道，并指出该地区具有长期的地区冲突历史，特别呼吁东南亚国家的共同合作。在会上，参与各国还提出需要建立一个机构处理在南中国海地区实施《海洋公约》的问题，印尼前外长还表示：如果更愿意合作的态度能加强中国在东南亚总的地位，为什么中国还要为几个小岛争论不休,印尼外交部召开“南中国海潜在冲突”的第一次非正式研讨会。,印尼外长阿拉塔斯呼吁有关国家在处理南中国海问题上进行合作。,顺承,1990,印尼巴厘岛南中国海马六甲新加坡东南亚中国
